🏻 => 🏻, faʻahinga 1–2, hinehina, kili
🏼 => 🏼, faʻahinga 3, kelokelo, kili
🏽 => 🏽, faʻahinga 4, kili, melomelo
🏾 => 🏾, faʻahinga 5, ʻuliʻuli, kili, kili melomelo-ʻuliʻuli, melomelo
🏿 => 🏿, faʻahinga 6, ʻuliʻuli, kili
😀 => 😀, mata fiefia
🤬 => 🤬, mata kapekape
😈 => 😈, mata malimali moe meʻatui
👿 => 👿, mata ʻita moe meʻatui
💀 => 💀, ʻulupoko
☠ => ☠, ʻulupoko moe ongo hui fehauaki
💩 => 💩, tuʻunga meʻakovi
🤡 => 🤡, mata tokotaha-fieoli
👹 => 👹, nifoloa
👺 => 👺, pīnōnō
👻 => 👻, fakapūloa
👽 => 👽, meʻamoʻuikehe
👾 => 👾, meʻamoʻuikehe fakamanavahē
🤖 => 🤖, mata tangata-ukamea
😺 => 😺, mataʻipusi fiefia
😸 => 😸, mataʻipusi fiefia moe kanoʻimata malimali
😹 => 😹, mataʻipusi moe loʻimata fiefia
😻 => 😻, mataʻipusi malimali moe kanoʻimata mafu
😼 => 😼, mataʻipusi moe malimali feʻu
😽 => 😽, mataʻipusi ʻuma
🙀 => 🙀, mataʻipusi ongosia
😿 => 😿, mataʻipusi loʻimata
😾 => 😾, mataʻipusi taʻefiemālie
🙈 => 🙈, ngeli ʻikai sio kovi
🙉 => 🙉, ngeli ʻikai fanongo kovi
🙊 => 🙊, ngeli ʻikai lea kovi
💋 => 💋, ʻilonga loungutu
💌 => 💌, tohi ʻofa
💘 => 💘, mafu moe ngahau
💝 => 💝, mafu moe lipine
💖 => 💖, mafu ngingila
💗 => 💗, mafu tupu
💓 => 💓, mafu ʻoku tā
💞 => 💞, ongo mafu takai
💕 => 💕, ongo mafu
💟 => 💟, mafu teuteuʻi
❣ => ❣, mafu fakaʻilonga kalanga
💔 => 💔, loto lavea
❤ => ❤, mafu kulokula
🧡 => 🧡, mafu lanumoli
💛 => 💛, mafu engeenga
💚 => 💚, mafu lanumata
💙 => 💙, mafu lanupulū
💜 => 💜, mafu lanufesiʻifekika
🤎 => 🤎, mafu melomelo
🖤 => 🖤, mafu ʻuliʻuli
🤍 => 🤍, mafu hinehina
💯 => 💯, poini ʻe teau
💢 => 💢, fakaʻilonga ʻita
💥 => 💥, fepaki
💫 => 💫, ninimo
💦 => 💦, tautaʻa tulutā
💨 => 💨, ʻoho atu
🕳 => 🕳, ava
💣 => 💣, pulukōkō
💬 => 💬, pulalea
👁‍🗨 => 👁‍🗨, kanoʻimata ʻi ha pulalea
🗨 => 🗨, pulalea ʻi hema
🗯 => 🗯, pulalea ʻita
💭 => 💭, pulalea fakakaukau
💤 => 💤, mohe
👋 => 👋, nima taʻataʻalo
🤚 => 🤚, tuʻanima hiki ki ʻolunga
🖐 => 🖐, nima fālalahi
✋ => ✋, nima hiki ki ʻolunga
🖖 => 🖖, nima mavaeua
👌 => 👌, nima fakaʻilonga sai
🤌 => 🤌, louhiʻinima fakamaʻopoʻopo
🤏 => 🤏, nima fakamaʻopoʻopo
✌ => ✌, nima ikuna
🤞 => 🤞, louhiʻinima fehauaki
🤟 => 🤟, nima fakaʻilonga mafu
🤘 => 🤘, nima fakaʻilonga fakatēvolo
🤙 => 🤙, nima fakaʻilonga tā mai
👈 => 👈, tuhu tuʻanima tonu ki hema
👉 => 👉, tuhu tuʻanima tonu ki mataʻu
👆 => 👆, tuhu tuʻanima tonu ki ʻolunga
🖕 => 🖕, tuhu ʻi loto
👇 => 👇, tuhu tuʻanima tonu ki lalo
☝ => ☝, tuhu tonu ki ʻolunga
👍 => 👍, motuʻatuhu ki ʻolunga
👎 => 👎, motuʻatuhu ki lalo
✊ => ✊, tuke hiki ki ʻolunga
👊 => 👊, tuke ki muʻa
🤛 => 🤛, tuke ki hema
🤜 => 🤜, tuke ki mataʻu
👏 => 👏, nima pasipasi
🙌 => 🙌, ongo nima hiki ki ʻolunga
👐 => 👐, nima homo
🤲 => 🤲, ongo aofinima hiki ki ʻolunga
🤝 => 🤝, lulululu
🙏 => 🙏, ongo nima tataʻo
✍ => ✍, nima ʻoku tohi
💅 => 💅, valivali ngeʻesinima
🤳 => 🤳, faitaaʻi pē kita
💪 => 💪, pāpela ʻoku pelu
🦾 => 🦾, nima ukamea
🦿 => 🦿, vaʻe ukamea
🦵 => 🦵, vaʻe
🦶 => 🦶, lauʻivaʻe
👂 => 👂, telinga
🦻 => 🦻, meʻa fakafanongo, telinga, telinga moe meʻa fakafanongo
👃 => 👃, ihu
🧠 => 🧠, ʻuto
🫀 => 🫀, mafu
🫁 => 🫁, maʻamaʻa
🦷 => 🦷, nifo
🦴 => 🦴, hui
👀 => 👀, ongo kanoʻimata
👁 => 👁, kanoʻimata
👅 => 👅, ʻelelo
👄 => 👄, ngutu
👶 => 👶, valevale
🧒 => 🧒, fānau
👦 => 👦, tamasiʻi
👧 => 👧, taʻahine
🧑 => 🧑, kakai lalahi
👱 => 👱, tokotaha ʻulu kelo
👨 => 👨, tangata
🧔 => 🧔, tangata kava
👱‍♂ => 👱‍♂, tangata ʻulu kelo
👩 => 👩, fefine
👱‍♀ => 👱‍♀, fefine ʻulu kelo
🧓 => 🧓, tokotaha motuʻa
👴 => 👴, motuʻa
👵 => 👵, finemotuʻa
🙍 => 🙍, tokotaha matamamahi
🙍‍♂ => 🙍‍♂, tangata matamamahi
🙍‍♀ => 🙍‍♀, fefine matamamahi
🙎 => 🙎, tokotaha mataʻita
🙎‍♂ => 🙎‍♂, tangata mataʻita
🙎‍♀ => 🙎‍♀, fefine mataʻita
🙅 => 🙅, tokotaha kaunima fetuiaki
🙅‍♂ => 🙅‍♂, tangata kaunima fetuiaki
🙅‍♀ => 🙅‍♀, fefine kaunima fetuiaki
🙆 => 🙆, tokotaha kaunima fetuiaki ʻolunga
🙆‍♂ => 🙆‍♂, tangata kaunima fetuiaki ʻolunga
🙆‍♀ => 🙆‍♀, fefine kaunima fetuiaki ʻolunga
💁 => 💁, tokotaha nima mafola
💁‍♂ => 💁‍♂, tangata nima mafola
💁‍♀ => 💁‍♀, fefine nima mafola
🙋 => 🙋, tokotaha nima ʻi ʻolunga
🙋‍♂ => 🙋‍♂, tangata nima ʻi ʻolunga
🙋‍♀ => 🙋‍♀, fefine nima ʻi ʻolunga
🧏 => 🧏, tokotaha tuli
🧏‍♂ => 🧏‍♂, tangata tuli
🧏‍♀ => 🧏‍♀, fefine tuli
🙇 => 🙇, tokotaha punou
🙇‍♂ => 🙇‍♂, tangata punou
🙇‍♀ => 🙇‍♀, fefine punou
🤦 => 🤦, tokotaha nima ʻihe mata
🤦‍♂ => 🤦‍♂, tangata nima ʻihe mata
🤦‍♀ => 🤦‍♀, fefine nima ʻihe mata
🤷 => 🤷, tokotaha fakamahiki
🤷‍♂ => 🤷‍♂, tangata fakamahiki
🤷‍♀ => 🤷‍♀, fefine fakamahiki
🧑‍⚕ => 🧑‍⚕, neesi
👨‍⚕ => 👨‍⚕, neesi tangata
👩‍⚕ => 👩‍⚕, neesi fefine
🧑‍🎓 => 🧑‍🎓, tokotaha ako
👨‍🎓 => 👨‍🎓, tamasiʻi ako
👩‍🎓 => 👩‍🎓, taʻahine ako
🧑‍🏫 => 🧑‍🏫, faiako
👨‍🏫 => 👨‍🏫, faiako tangata
👩‍🏫 => 👩‍🏫, faiako fefine
🧑‍⚖ => 🧑‍⚖, fakamaau
👨‍⚖ => 👨‍⚖, fakamaau tangata
👩‍⚖ => 👩‍⚖, fakamaau fefine
🧑‍🌾 => 🧑‍🌾, tokotaha ngoue
👨‍🌾 => 👨‍🌾, tangata ngoue
👩‍🌾 => 👩‍🌾, fefine ngoue
🧑‍🍳 => 🧑‍🍳, tokotaha ngaohikai
👨‍🍳 => 👨‍🍳, tangata ngaohikai
👩‍🍳 => 👩‍🍳, fefine ngaohikai
🧑‍🔧 => 🧑‍🔧, ʻenisia
👨‍🔧 => 👨‍🔧, ʻenisinia tangata
👩‍🔧 => 👩‍🔧, ʻenisinia fefine
🧑‍🏭 => 🧑‍🏭, tokotaha ngāue fale faʻuʻanga
👨‍🏭 => 👨‍🏭, tangata ngāue fale faʻuʻanga
👩‍🏭 => 👩‍🏭, fefine ngāue fale faʻuʻanga
🧑‍💼 => 🧑‍💼, tokotaha ngāue ʻōfisi
👨‍💼 => 👨‍💼, tangata ngāue ʻōfisi
👩‍💼 => 👩‍💼, fefine ngāue ʻōfisi
🧑‍🔬 => 🧑‍🔬, tokotaha faisaienisi
👨‍🔬 => 👨‍🔬, tangata faisaienisi
👩‍🔬 => 👩‍🔬, fefine faisaienisi
🧑‍💻 => 🧑‍💻, tokotaha fakatekinolosia
👨‍💻 => 👨‍💻, tangata fakatekinolosia
👩‍💻 => 👩‍💻, fefine fakatekinolosia
🧑‍🎤 => 🧑‍🎤, tokotaha hiva
👨‍🎤 => 👨‍🎤, tangata hiva
👩‍🎤 => 👩‍🎤, fefine hiva
🧑‍🎨 => 🧑‍🎨, tokotaha tā-fakatātā
👨‍🎨 => 👨‍🎨, tangata tā-fakatātā
👩‍🎨 => 👩‍🎨, fefine tā-fakatātā
🧑‍✈ => 🧑‍✈, pailate
👨‍✈ => 👨‍✈, pailate tangata
👩‍✈ => 👩‍✈, pailate fefine
🧑‍🚀 => 🧑‍🚀, tokotaha folaufetuʻu
👨‍🚀 => 👨‍🚀, tama folaufetuʻu
👩‍🚀 => 👩‍🚀, fefine folaufetuʻu
🧑‍🚒 => 🧑‍🚒, tokotaha tāmate-afi
👨‍🚒 => 👨‍🚒, tangata tāmate-afi
👩‍🚒 => 👩‍🚒, fefine tāmate-afi
👮 => 👮, ʻofisa polisi
👮‍♂ => 👮‍♂, ʻofisa polisi tangata
👮‍♀ => 👮‍♀, ʻofisa polisi fefine
🕵 => 🕵, tokotaha fakatotolo
🕵‍♂ => 🕵‍♂, tangata fakatotolo
🕵‍♀ => 🕵‍♀, fefine fakatotolo
💂 => 💂, leʻo
💂‍♂ => 💂‍♂, leʻo tangata
💂‍♀ => 💂‍♀, leʻo fefine
🥷 => 🥷, mata ninisā
👷 => 👷, tokotaha ngāue langa
👷‍♂ => 👷‍♂, tangata ngāue langa
👷‍♀ => 👷‍♀, fefine ngāue langa
🤴 => 🤴, ʻalo tangata
👸 => 👸, ʻalo fefine
👳 => 👳, tokotaha tui faʻu
👳‍♂ => 👳‍♂, tangata tui faʻu
👳‍♀ => 👳‍♀, fefine tui faʻu
👲 => 👲, tangata tui tatā fakasiaina
🧕 => 🧕, fefine tui sikaafi
🤵 => 🤵, tangata vala kakato
👰 => 👰, fefine tui veili
🤰 => 🤰, feitama
🤱 => 🤱, fakahuhu
👼 => 👼, ʻangelo valevale
🎅 => 🎅, Sānita Kalausi
🤶 => 🤶, Sānita Kalausi fefine
🦸 => 🦸, tokotaha ivimālohi
🦸‍♂ => 🦸‍♂, tangata ivimālohi
🦸‍♀ => 🦸‍♀, fefine ivimālohi
🦹 => 🦹, tokotaha kākā
🦹‍♂ => 🦹‍♂, tangata kākā
🦹‍♀ => 🦹‍♀, fefine kākā
🧙 => 🧙, tokotaha taula-faʻahikehe
🧙‍♂ => 🧙‍♂, tangata taula-faʻahikehe
🧙‍♀ => 🧙‍♀, fefine taula-faʻahikehe
🧚 => 🧚, feeli
🧚‍♂ => 🧚‍♂, feeli tangata
🧚‍♀ => 🧚‍♀, feeli fefine
🧛 => 🧛, tokotaha misi toto
🧛‍♂ => 🧛‍♂, tangata misi toto
🧛‍♀ => 🧛‍♀, fefine misi toto
🧜 => 🧜, tokotaha meimeite
🧜‍♂ => 🧜‍♂, tangata meimeite
🧜‍♀ => 🧜‍♀, fefine meimeite
🧝 => 🧝, kiʻi feeli
🧝‍♂ => 🧝‍♂, kiʻi feeli tangata
🧝‍♀ => 🧝‍♀, kiʻi feeli fefine
🧞 => 🧞, faʻahikehe
🧞‍♂ => 🧞‍♂, faʻahikehe tangata
🧞‍♀ => 🧞‍♀, faʻahikehe fefine
🧟 => 🧟, tēvolo
🧟‍♂ => 🧟‍♂, tēvolo tangata
🧟‍♀ => 🧟‍♀, tēvolo fefine
💆 => 💆, tokotaha fotofotaʻi
💆‍♂ => 💆‍♂, tangata fotofotaʻi
💆‍♀ => 💆‍♀, fefine fotofotaʻi
💇 => 💇, tokotaha ʻulu kosi
💇‍♂ => 💇‍♂, tangata ʻulu kosi
💇‍♀ => 💇‍♀, fefine ʻulu kosi
🚶 => 🚶, tokotaha lue
🚶‍♂ => 🚶‍♂, tangata lue
🚶‍♀ => 🚶‍♀, fefine lue
🧍 => 🧍, tokotaha tuʻu
🧍‍♂ => 🧍‍♂, tangata tuʻu
🧍‍♀ => 🧍‍♀, fefine tuʻu
🧎 => 🧎, tokotaha tūʻulutui
🧎‍♂ => 🧎‍♂, tangata tūʻulutui
🧎‍♀ => 🧎‍♀, fefine tūʻulutui
🧑‍🦯 => 🧑‍🦯, kui, tokotaha, tokotaha moe tokotokokui, tokotoko
👨‍🦯 => 👨‍🦯, kui, tangata, tangata moe tokotokokui, tokotoko
👩‍🦯 => 👩‍🦯, fefine, fefine moe tokotokokui, kui, tokotoko
🧑‍🦼 => 🧑‍🦼, sāliote falemahaki mīsini, tokotaha ʻihe sāliote falemahaki mīsini
👨‍🦼 => 👨‍🦼, falemahaki, mīsini, sāliote, tangata, tangata ʻihe sāliote falemahaki mīsini
👩‍🦼 => 👩‍🦼, falemahaki, fefine, fefine ʻihe sāliote falemahaki mīsini, mīsini, sāliote
🧑‍🦽 => 🧑‍🦽, falemahaki, sāliote, tokotaha ʻihe sāliote falemahaki
👨‍🦽 => 👨‍🦽, falemahaki, sāliote, tangata, tangata ʻihe sāliote falemahaki
👩‍🦽 => 👩‍🦽, falemahaki, fefine, fefine ʻihe sāliote falemahaki, sāliote
🏃 => 🏃, tokotaha lele
🏃‍♂ => 🏃‍♂, tangata lele
🏃‍♀ => 🏃‍♀, fefine lele
💃 => 💃, fefine meʻe
🕺 => 🕺, tangata meʻe
🕴 => 🕴, tangata ʻi vala tangata kakato ʻoku maʻanu
👯 => 👯, tokoua telinga-lāpisi
👯‍♂ => 👯‍♂, ongo tangata telinga-lāpisi
👯‍♀ => 👯‍♀, fafine telinga-lāpisi
🧖 => 🧖, tokotaha ʻi loki mao
🧖‍♂ => 🧖‍♂, tangata ʻi loki mao
🧖‍♀ => 🧖‍♀, fefine ʻi loki mao
🧗 => 🧗, tokotaha kaka
🧗‍♂ => 🧗‍♂, tangata kaka
🧗‍♀ => 🧗‍♀, fefine kaka
🤺 => 🤺, tokotaha tau heletā
🏇 => 🏇, lova hoosi
⛷ => ⛷, tokotaha heke sinou
🏂 => 🏂, tokotaha heke laupapa sinou
🏌 => 🏌, tokotaha tāpulu
🏌‍♂ => 🏌‍♂, tangata tāpulu
🏌‍♀ => 🏌‍♀, fefine tāpulu
🏄 => 🏄, tokotaha fānifo
🏄‍♂ => 🏄‍♂, tangata fānifo
🏄‍♀ => 🏄‍♀, fefine fānifo
🚣 => 🚣, tokotaha ʻaʻalo
🚣‍♂ => 🚣‍♂, tangata ʻaʻalo
🚣‍♀ => 🚣‍♀, fefine ʻaʻalo
🏊 => 🏊, tokotaha kakau
🏊‍♂ => 🏊‍♂, tangata kakau
🏊‍♀ => 🏊‍♀, fefine kakau
⛹ => ⛹, tokotaha tōpuna pulu
⛹‍♂ => ⛹‍♂, tangata tōpuna pulu
⛹‍♀ => ⛹‍♀, fefine tōpuna pulu
🏋 => 🏋, tokotaha hiki meʻamamafa
🏋‍♂ => 🏋‍♂, tangata hiki meʻamamafa
🏋‍♀ => 🏋‍♀, fefine hiki meʻamamafa
🚴 => 🚴, tokotaha heka pasikala
🚴‍♂ => 🚴‍♂, tangata heka pasikala
🚴‍♀ => 🚴‍♀, fefine heka pasikala
🚵 => 🚵, tokotaha heka pasikala moʻunga
🚵‍♂ => 🚵‍♂, tangata heka pasikala moʻunga
🚵‍♀ => 🚵‍♀, fefine heka pasikala moʻunga
🤸 => 🤸, tokotaha tākisi
🤸‍♂ => 🤸‍♂, tangata tākisi
🤸‍♀ => 🤸‍♀, fefine tākisi
🤼 => 🤼, kakai fangatua
🤼‍♂ => 🤼‍♂, ongo tangata fangatua
🤼‍♀ => 🤼‍♀, fafine fangatua
🤽 => 🤽, tokotaha polovai
🤽‍♂ => 🤽‍♂, tangata polovai
🤽‍♀ => 🤽‍♀, fefine polovai
🤾 => 🤾, tokotaha netipolo
🤾‍♂ => 🤾‍♂, tangata netipolo
🤾‍♀ => 🤾‍♀, fefine netipolo
🤹 => 🤹, tokotaha hiko
🤹‍♂ => 🤹‍♂, tangata hiko
🤹‍♀ => 🤹‍♀, fefine hiko
🧘 => 🧘, tokotaha tangutu fehauaki
🧘‍♂ => 🧘‍♂, tangata tangutu fehauaki
🧘‍♀ => 🧘‍♀, fefine tangutu fehauaki
🛀 => 🛀, tokotaha kaukau
🛌 => 🛌, tokotaha ʻi mohenga
🧑‍🤝‍🧑 => 🧑‍🤝‍🧑, kakai fetakinima
👭 => 👭, ongo fafine fetakinima
👫 => 👫, tangata mo fefine fetakinima
👬 => 👬, ongo tangata fetakinima
💏 => 💏, ʻuma
💑 => 💑, ongo tokoua moe mafu
👪 => 👪, fāmili
🗣 => 🗣, mata talanoa
👤 => 👤, ʻata ʻoe sino
👥 => 👥, ongo ʻata ʻoe sino
🫂 => 🫂, kakai fāʻufua
👣 => 👣, topuvaʻe
🦰 => 🦰, ʻulu, kulokula
🦱 => 🦱, ʻulu, mingimingi
🦳 => 🦳, hinā, ʻulu
🦲 => 🦲, ʻulu, kosi, tula
🐵 => 🐵, mataʻi-ngeli
🐒 => 🐒, ngeli
🦍 => 🦍, kolila
🦧 => 🦧, ngeli, ngeli-nofoʻuta
🐶 => 🐶, mataʻi-kulī
🐕 => 🐕, kulī
🦮 => 🦮, kui, kulī, kulī tokonikui, tokoni
🐕‍🦺 => 🐕‍🦺, kulī tokoni
🐩 => 🐩, kulī pūteli
🐺 => 🐺, mataʻi-ulofi
🦊 => 🦊, mataʻi-fokisi
🦝 => 🦝, lakūni
🐱 => 🐱, mataʻi-pusi
🐈 => 🐈, pusi
🦁 => 🦁, mataʻi-laione
🐯 => 🐯, mataʻi-taika
🐅 => 🐅, taika
🐆 => 🐆, lēpati
🐴 => 🐴, mataʻi-hoosi
🐎 => 🐎, hoosi
🦄 => 🦄, mataʻi-meʻatuitaha
🦓 => 🦓, sepelā
🦌 => 🦌, tia
🦬 => 🦬, pisoni
🐮 => 🐮, mataʻi-pulu
🐂 => 🐂, pulu pokaʻi
🐃 => 🐃, pafalō
🐄 => 🐄, pulu
🐷 => 🐷, mataʻi-puaka
🐖 => 🐖, puaka
🐗 => 🐗, puaka fekai
🐽 => 🐽, ihuʻi-puaka
🐏 => 🐏, sipi tau
🐑 => 🐑, sipi fefine
🐐 => 🐐, kosi
🐪 => 🐪, kāmeli tuʻahulataha
🐫 => 🐫, kāmeli tuʻahulaua
🦙 => 🦙, lama
🦒 => 🦒, silafi
🐘 => 🐘, ʻelefānite
🦣 => 🦣, ʻauhamālie, mamota
🦏 => 🦏, lainosolosi
🦛 => 🦛, hipopotama
🐭 => 🐭, mataʻi-kumāsiʻi
🐁 => 🐁, kumāsiʻi
🐀 => 🐀, kumā
🐹 => 🐹, kumā-feti
🐰 => 🐰, mataʻi-lāpisi
🐇 => 🐇, lāpisi
🐿 => 🐿, sikueli
🦫 => 🦫, ano, kumā, kumā fai-tāpuni-vai, tāpuni
🦔 => 🦔, puakatalatala
🦇 => 🦇, peka
🐻 => 🐻, mataʻi-pea
🐨 => 🐨, pea-ʻuliʻuli-moe-hinehina
🐼 => 🐼, mataʻi-pea-ʻuliʻuli-moe-hinehina
🦥 => 🦥, fakapikopiko, pea-fakapikopiko
🦦 => 🦦, ʻotē, manu, toutai
🦨 => 🦨, manu fainamukū, namukū
🦘 => 🦘, kangikalū
🦡 => 🦡, patisē
🐾 => 🐾, topuvaʻe manu
🦃 => 🦃, pīpī
🐔 => 🐔, moa
🐓 => 🐓, moataʻane
🐣 => 🐣, fōfoaʻimoa
🐤 => 🐤, ʻuhikiʻimoa
🐥 => 🐥, ʻuhikiʻimoa hanga mai
🐦 => 🐦, manupuna
🐧 => 🐧, penikuini
🕊 => 🕊, lupe
🦅 => 🦅, ʻikale
🦆 => 🦆, pato
🦢 => 🦢, patolahi
🦉 => 🦉, lulu
🦤 => 🦤, ʻauhamālie, manupuna, toto
🪶 => 🪶, fulufulu, manupuna
🦩 => 🦩, falamingo, manupuna
🦚 => 🦚, pīkoka
🦜 => 🦜, kakā
🐸 => 🐸, mataʻi-poto
🐊 => 🐊, kalokataile
🐢 => 🐢, fonu
🦎 => 🦎, moko
🐍 => 🐍, ngata
🐲 => 🐲, mataʻi-talākoni
🐉 => 🐉, talākoni
🦕 => 🦕, saulopoti
🦖 => 🦖, tainosauli nifo māsila
🐳 => 🐳, tofuaʻa puhi
🐋 => 🐋, tofuaʻa
🐬 => 🐬, pungopunga
🦭 => 🦭, kulītahi
🐟 => 🐟, ika
🐠 => 🐠, ika he hakau
🐡 => 🐡, sokisoki
🦈 => 🦈, ʻanga
🐙 => 🐙, feke
🐚 => 🐚, keleʻa
🐌 => 🐌, ʻelili
🦋 => 🦋, pepe
🐛 => 🐛, kutu
🐜 => 🐜, lō
🐝 => 🐝, hone
🪲 => 🪲, mongomonga, mongomonga iiki
🐞 => 🐞, mongomonga, mongomonga-fineʻeiki
🦗 => 🦗, kālihi
🪳 => 🪳, mongomonga
🕷 => 🕷, hina
🕸 => 🕸, matamatakupenga
🦂 => 🦂, sikipio
🦟 => 🦟, namu
🪰 => 🪰, lango
🪱 => 🪱, kelemutu
🦠 => 🦠, siemu
💐 => 💐, haʻinga matalaʻiʻakau
🌸 => 🌸, matalaʻi-seli
💮 => 💮, matalaʻiʻakau hinehina
🏵 => 🏵, potupotutatau
🌹 => 🌹, lose
🥀 => 🥀, mae
🌺 => 🌺, kaute
🌻 => 🌻, siolaʻā
🌼 => 🌼, matalaʻiʻakau
🌷 => 🌷, tiulipe
🌱 => 🌱, pulopula
🪴 => 🪴, ʻakau ʻihe kulo
🌲 => 🌲, ʻakau lanumata maʻu pē
🌳 => 🌳, ʻakau fakatōlau
🌴 => 🌴, fuʻu niu
🌵 => 🌵, kakatisi
🌾 => 🌾, haʻinga laise
🌿 => 🌿, ʻakau faitoʻo
☘ => ☘, sameloki
🍀 => 🍀, kihikihipālangi lau ʻe fā
🍁 => 🍁, lauʻi-mapele
🍂 => 🍂, lau kuo tō
🍃 => 🍃, lau ngaungaue matangi
🍇 => 🍇, kālepi
🍈 => 🍈, meleni-pālangi
🍉 => 🍉, meleni
🍊 => 🍊, moli
🍋 => 🍋, lemani
🍌 => 🍌, siaine
🍍 => 🍍, fainā
🥭 => 🥭, mango
🍎 => 🍎, ʻāpele kula
🍏 => 🍏, ʻāpele mata
🍐 => 🍐, pea
🍑 => 🍑, piisi
🍒 => 🍒, seli
🍓 => 🍓, sitolōpeli
🫐 => 🫐, pelilanupulū
🥝 => 🥝, kiui
🍅 => 🍅, temata
🫒 => 🫒, ʻolive, kai
🥥 => 🥥, foʻi niu
🥑 => 🥑, ʻāvoka
🍆 => 🍆, paingani
🥔 => 🥔, pateta
🥕 => 🥕, kāloti
🌽 => 🌽, foʻi koane
🌶 => 🌶, polo fifisi
🫑 => 🫑, polo
🥒 => 🥒, kiukamipa
🥬 => 🥬, lētisi
🥦 => 🥦, kāpisi
🧄 => 🧄, kaliki
🧅 => 🧅, ʻonioni
🍄 => 🍄, fakamalu-ʻa-tēvolo
🥜 => 🥜, pīnati
🌰 => 🌰, ifi
🍞 => 🍞, mā
🥐 => 🥐, mā kalipa
